,Rpn10_Razul_KO/wt,,Rpn10_UIM_KO/wt,,Rpn13_KO/wt,,trRpn13/wt,,UCHL5_KO/wt,,USP14_KO/wt,
CNOT1,-0.06,1.05,0.10,1.51,0.11,1.94,0.11,0.97,0.01,0.04,0.17,1.76
EIF4A1,-0.30,0.77,-0.27,0.70,-0.14,0.35,-0.14,0.33,-0.37,0.91,-0.10,0.22
PRPF6,-0.14,1.13,-0.08,0.82,0.04,0.33,0.08,0.54,-0.02,0.15,0.14,1.61
UNC45A,0.31,3.49,0.29,4.22,-0.04,1.11,0.16,2.75,0.09,2.03,-0.04,0.68
GEMIN5,-0.16,1.00,-0.29,2.01,0.16,1.28,-0.01,0.08,-0.10,0.91,-0.24,1.83
NUDC,-0.30,0.99,-0.28,0.96,-0.03,0.09,-0.10,0.31,-0.11,0.36,0.06,0.19
MDH2,-0.27,1.41,-0.22,1.28,-0.19,0.99,0.04,0.19,-0.03,0.13,-0.08,0.47
ATAD3A,-0.09,0.33,-0.44,1.63,0.16,0.73,-0.03,0.11,0.15,0.66,-0.06,0.23
TUBA1A,0.09,0.58,0.15,1.20,0.00,0.01,-0.11,0.78,0.02,0.14,0.08,0.61
EIF3B,0.02,0.14,-0.05,0.40,0.18,1.78,0.08,0.56,0.06,0.44,0.07,1.04
ANXA1,-0.31,2.63,0.47,3.16,0.06,0.55,-0.03,0.31,0.36,2.64,0.08,0.81
YWHAE,-0.52,1.69,-0.55,1.81,-0.55,1.75,-0.39,1.35,-0.37,1.17,-0.44,1.46
MSH6,-0.25,2.83,-0.16,3.61,0.71,4.60,-0.15,1.82,0.06,0.80,-0.10,1.58
TPM4,0.74,2.16,0.48,3.81,0.44,2.27,0.31,2.47,-0.02,0.09,0.19,1.70
DBN1,0.33,3.17,0.20,2.35,0.18,3.01,0.27,3.10,0.07,0.84,0.25,2.79
UBE2O,0.21,2.07,0.37,2.96,0.16,1.96,0.20,2.20,0.14,1.11,0.25,2.53
PAICS,-0.22,3.72,-0.26,4.29,-0.04,1.15,-0.03,1.11,0.10,1.29,0.08,1.35
NASP,-0.07,1.13,0.11,1.87,0.20,3.10,-0.08,1.22,-0.41,3.23,0.18,2.54
CAND1,-0.27,1.36,-0.02,0.10,-0.11,0.65,-0.04,0.19,0.01,0.03,-0.11,0.57
ABCF1,-0.09,0.48,-0.21,1.23,-0.07,0.37,-0.11,0.56,-0.13,0.54,-0.08,0.37
EDC4,-0.16,4.02,-0.13,1.70,0.13,4.11,0.01,0.07,-0.01,0.15,0.00,0.01
FTSJ3,0.25,2.06,0.01,0.05,0.26,2.33,0.01,0.10,0.22,2.20,-0.03,0.14
NUP98,0.01,0.05,0.06,0.60,0.11,1.22,0.04,0.35,0.00,0.01,0.14,1.43
ECPAS,-0.18,0.87,-0.03,0.14,0.15,0.69,0.07,0.32,0.00,0.01,-0.20,0.97
FLII,0.25,2.02,0.16,1.27,0.21,1.89,0.12,1.14,-0.12,0.99,-0.07,0.46
UTP14A,-0.11,0.94,-0.22,2.23,-0.04,0.39,0.07,0.83,0.20,1.69,-0.03,0.28
NSF,0.09,1.09,0.20,2.62,-0.18,2.27,0.06,1.04,0.07,0.69,-0.12,1.97
HNRNPA2B1,-0.51,3.85,-0.25,2.74,-0.35,3.37,-0.12,2.05,-0.21,2.35,-0.15,1.73
SMARCA4,-0.11,2.15,-0.09,1.74,-0.04,1.24,0.09,1.72,-0.26,3.96,-0.03,0.72
FSCN1,-0.47,3.12,0.31,2.83,0.27,2.70,0.09,0.97,0.12,1.24,0.02,0.11
TNKS1BP1,0.21,2.13,0.20,1.98,0.08,0.77,0.15,1.36,0.20,1.70,0.13,1.18
DHX30,-0.05,0.30,-0.05,0.22,-0.38,2.11,-0.14,0.85,-0.02,0.08,0.17,1.28
SUPT5H,0.14,1.96,0.06,0.92,-0.46,3.46,0.02,0.19,0.11,1.89,0.25,3.07
EPB41L2,0.29,2.69,0.31,3.04,-0.09,1.27,0.12,1.64,0.18,1.48,0.06,0.93
IMPDH2,-0.27,2.68,-0.43,4.66,0.05,0.88,-0.29,3.63,0.30,2.39,-0.07,0.94
AHCY,-0.48,5.25,-0.48,2.91,-0.32,3.16,-0.17,3.02,-0.05,0.61,-0.35,3.84
ATP1A3,-0.07,0.23,-0.93,2.54,-0.36,1.43,-0.41,1.57,-0.52,1.98,-0.61,2.13
CCT6A,-0.32,3.30,-0.33,4.10,-0.10,2.12,-0.10,1.43,-0.07,0.45,-0.05,0.41
TJP1,-0.08,1.24,0.01,0.08,0.44,3.70,-0.01,0.17,-0.14,1.53,0.22,2.30
HEATR1,-0.36,1.47,-0.41,1.65,-0.06,0.22,-0.15,0.66,-0.05,0.16,-0.20,0.85
TUBA1C,0.07,0.68,0.00,0.01,-0.15,1.06,-0.24,1.63,-0.21,0.91,0.03,0.08
TBL3,-0.24,2.66,-0.42,3.55,-0.10,1.59,-0.05,0.85,0.01,0.11,-0.24,2.12
ELAC2,-0.02,0.09,-0.01,0.08,0.19,1.54,0.00,0.02,0.29,2.27,0.19,1.69
HNRNPA1,-0.30,1.31,-0.30,1.38,-0.07,0.28,-0.18,0.78,-0.21,0.88,-0.05,0.15
CANX,-0.27,2.65,-0.39,2.92,-0.43,3.93,-0.15,2.46,-0.29,2.35,-0.32,3.27
RANGAP1,0.00,0.01,-0.12,0.32,0.13,0.39,-0.02,0.05,0.11,0.30,0.00,0.01
GTF3C1,-0.12,0.76,0.05,0.29,0.18,1.51,0.10,0.88,-0.19,0.98,0.09,0.50
LDHB,-0.32,5.13,-0.01,0.56,-0.12,3.06,0.04,0.64,0.08,1.06,0.10,2.64
CKAP4,0.08,0.97,-0.02,0.19,-0.37,4.50,-0.01,0.10,-0.60,3.65,-0.40,2.71
GANAB,-0.38,0.94,-0.40,0.94,-0.54,1.30,-0.25,0.63,-0.23,0.56,-0.29,0.78
NUP210,-0.56,1.95,-0.42,1.86,-0.46,2.02,0.25,1.07,0.11,0.51,0.09,0.42
HCFC1,-0.10,0.16,0.12,0.18,-0.05,0.06,0.11,0.17,-0.12,0.17,-0.12,0.20
WDR3,-0.28,2.80,-0.43,3.65,-0.09,1.32,-0.06,0.79,-0.03,0.40,-0.24,2.53
PPL,-0.40,0.92,-0.33,0.80,-0.08,0.15,-0.24,0.57,-0.69,1.44,-0.08,0.17
HCFC1,0.13,1.78,0.20,2.35,0.11,2.22,0.14,2.35,-0.07,0.71,0.11,1.49
DNAJC7,0.13,1.98,0.23,2.88,-0.05,0.54,0.12,2.00,-0.03,0.24,0.08,1.00
YWHAZ,-0.06,0.59,0.10,1.47,0.15,2.05,0.06,0.53,0.03,0.20,0.11,1.01
CALR,0.15,1.43,-0.21,1.68,-0.06,0.52,-0.26,2.22,-0.13,1.37,-0.20,1.77
STRAP,0.19,2.36,0.41,3.68,0.21,2.17,0.27,2.79,0.29,2.34,0.31,2.98
GANAB,-0.35,4.26,-0.42,2.89,-0.49,4.71,-0.11,1.63,-0.31,3.86,-0.25,3.07
PYGL,-0.57,3.57,-0.64,3.54,-0.08,0.48,-0.20,1.21,-0.51,2.64,-0.36,2.50
CLIP1,0.35,3.23,0.51,3.84,0.27,2.86,0.26,2.40,0.13,1.60,0.16,1.84
SHTN1,-0.25,2.27,-0.20,2.14,-0.22,1.98,-0.07,0.76,-0.36,2.53,0.03,0.21
RPN1,0.12,0.89,-0.03,0.18,0.12,0.92,0.02,0.18,-0.04,0.19,0.14,0.92
EIF4G2,-0.04,0.31,-0.03,0.17,0.14,1.29,0.24,1.83,0.10,0.84,0.15,1.05
NOP56,-0.27,1.91,-0.38,2.19,-0.14,0.98,-0.07,0.55,-0.06,0.34,-0.16,1.20
EIF4A3,-0.01,0.03,-0.04,0.20,0.10,0.57,0.01,0.06,-0.08,0.48,0.17,1.27
KIF4A,0.50,1.76,0.52,1.47,0.20,0.72,0.10,0.28,0.21,0.78,0.33,1.13
HNRNPC,-0.33,1.72,-0.17,0.98,-0.12,0.54,-0.07,0.29,-0.08,0.32,-0.03,0.16
PPP2R1A,-0.19,0.66,0.00,0.01,-0.05,0.20,-0.11,0.42,-0.13,0.60,0.00,0.00
NONO,-0.14,0.70,-0.05,0.26,-0.10,0.49,-0.28,1.44,-0.12,0.60,-0.01,0.06
TPI1,-0.07,0.55,-0.07,0.52,-0.05,0.35,0.04,0.30,0.13,1.18,0.00,0.02
MYO1C,0.02,0.11,-0.10,0.59,-0.33,1.76,-0.19,0.87,-0.27,1.56,-0.33,1.67
DDX54,-0.15,0.58,-0.29,1.13,0.16,0.71,-0.01,0.04,0.05,0.15,0.05,0.19
DNAJA1,0.73,2.98,0.72,3.41,0.75,2.84,0.41,1.51,0.51,1.90,0.57,2.88
AHCTF1,0.13,1.55,0.14,1.49,0.17,1.49,0.10,0.85,-0.08,0.44,0.15,2.15
SLK,-0.10,1.26,0.38,3.35,0.47,4.35,0.06,0.71,0.50,3.00,0.43,3.92
BMS1,-0.14,1.22,-0.22,2.09,0.12,1.45,0.01,0.08,0.06,0.55,-0.06,0.61
DIS3,-0.13,1.37,-0.08,0.78,-0.02,0.15,-0.13,1.32,0.15,1.61,0.04,0.39
DST,0.61,2.12,0.66,2.02,-0.10,0.28,0.24,0.90,0.12,0.36,0.00,0.01
NSUN2,0.04,0.34,-0.26,4.20,0.73,6.57,-0.04,1.59,0.19,2.48,0.14,1.10
ZNF638,0.07,1.26,0.09,1.13,0.04,0.30,0.16,1.79,0.09,0.43,0.08,0.94
EXOSC10,-0.15,0.68,-0.16,0.89,0.10,0.54,0.12,0.58,-0.36,1.66,0.07,0.32
ALDH18A1,-0.15,1.08,-0.33,2.10,-0.10,0.81,-0.12,0.78,0.16,1.19,-0.11,0.83
ACTA1,-0.61,0.66,-0.80,0.87,-0.88,0.93,-0.83,0.87,-0.78,0.82,-0.85,0.91
OPA1,-0.19,0.85,-0.32,1.42,-0.09,0.38,0.03,0.12,-0.02,0.05,-0.15,0.66
XPO1,-0.58,2.26,-0.04,0.15,0.02,0.06,0.03,0.10,0.12,0.56,0.16,0.77
ANKRD17,0.22,2.80,0.43,2.96,0.33,3.70,0.34,3.00,0.41,2.59,0.39,2.87
ASCC3,0.06,0.60,-0.11,1.05,0.18,1.80,0.05,0.61,0.27,2.78,0.09,0.72
GPD2,-0.41,3.28,0.09,0.98,-0.08,0.85,0.04,0.52,0.01,0.08,0.15,1.71
ITPR3,-0.23,2.23,-0.56,3.94,-0.15,2.03,-0.10,1.19,-0.17,1.74,-0.41,3.03
SEPTIN9,0.15,1.03,0.05,0.37,0.09,0.67,0.18,1.45,0.08,0.64,0.22,1.73
EIF3D,0.03,0.48,0.05,1.97,0.15,2.42,0.09,2.90,0.00,0.00,0.12,2.12
CTTN,-0.09,0.32,0.27,1.29,-0.04,0.14,0.29,1.49,-0.17,0.74,-0.20,0.85
HNRNPL,-0.30,2.24,0.03,0.26,0.17,1.82,0.13,1.00,0.25,1.43,0.28,1.66
PSMC5,0.36,1.86,0.62,2.90,0.22,1.14,-0.06,0.27,-0.26,1.21,0.00,0.02
ABCE1,-0.18,0.80,-0.03,0.14,0.10,0.55,0.03,0.09,0.18,0.91,0.00,0.01
LTA4H,-0.58,3.65,-0.37,2.50,0.00,0.02,-0.35,2.51,-0.11,0.49,-0.11,0.72
HMGB1,-0.27,1.69,-0.20,1.29,-0.27,1.53,-0.12,0.66,-0.36,1.62,-0.12,0.53
ALDH1A3,0.09,0.38,-1.10,4.12,-0.05,0.37,0.41,2.96,0.03,0.28,-0.33,2.52
RUVBL1,-0.33,1.86,-0.34,2.74,-0.03,0.22,-0.20,1.65,-0.18,0.80,-0.39,2.07
PREP,-0.29,2.80,-0.31,3.39,-0.21,2.54,-0.21,2.21,-0.24,1.51,-0.10,0.71
LETM1,-0.03,0.55,-0.27,2.86,0.30,2.59,0.16,1.82,0.20,1.98,0.06,0.78
PSMC4,0.57,3.34,0.82,3.75,0.36,3.44,0.06,0.81,-0.09,0.84,0.14,1.18
EHBP1L1,0.31,1.18,0.23,1.03,0.32,1.43,0.12,0.50,0.05,0.17,0.01,0.04
PRDX1,0.03,0.16,0.19,1.67,0.00,0.02,0.01,0.04,0.11,0.72,0.07,0.55
UBR5,0.33,2.19,0.44,2.79,0.37,2.37,0.23,0.84,0.00,0.01,0.26,1.77
CTNND1,-0.34,2.10,-0.23,2.13,0.12,1.82,-0.21,3.49,-0.64,4.84,0.05,1.20
PDS5A,-0.20,0.91,-0.10,0.39,0.09,0.43,-0.05,0.20,0.02,0.06,0.18,1.00
PSMD3,0.28,1.38,0.56,2.34,0.21,1.39,0.26,1.68,-0.07,0.28,0.11,0.61
CACYBP,0.04,0.35,0.06,0.54,0.07,0.83,0.07,0.85,0.38,3.20,0.32,2.77
WDR1,0.62,2.90,0.52,2.45,0.34,1.84,0.14,0.77,0.36,1.96,0.22,1.21
MYO1B,-0.14,0.82,0.23,1.13,0.18,0.98,0.24,1.70,-0.19,0.87,-0.08,0.45
NDUFS1,-0.43,2.10,-0.24,1.32,-0.17,0.77,0.09,0.30,-0.28,1.12,-0.26,1.07
SART3,0.09,0.50,0.15,0.93,-0.03,0.14,0.11,0.84,-0.20,1.22,0.05,0.33
PGAM1,0.00,0.04,-0.03,0.27,-0.02,0.28,0.03,0.42,0.10,1.13,0.01,0.13
PABPC4,-0.13,1.42,-0.07,0.90,0.18,1.75,-0.03,0.26,0.02,0.12,-0.29,2.09
CDC37,0.27,1.45,0.24,1.24,0.38,1.99,0.12,0.54,0.05,0.22,0.10,0.48
USP5,0.28,2.40,0.64,4.01,0.08,0.68,0.33,2.16,0.12,1.01,0.06,0.50
RPL5,-0.24,1.67,-0.22,2.00,-0.07,0.53,-0.11,0.82,-0.08,0.69,-0.17,1.60
DDX42,0.09,0.49,0.08,0.44,0.05,0.35,0.06,0.39,0.00,0.01,0.09,0.58
TARS1,-0.23,2.99,-0.26,4.00,-0.22,3.62,-0.05,1.49,0.12,1.77,0.03,0.81
RBM25,0.07,0.71,-0.05,0.60,-0.01,0.09,-0.08,1.29,-0.18,1.70,0.21,2.13
TFRC,-0.10,0.20,-0.81,1.76,0.05,0.10,-0.14,0.32,-0.26,0.52,-0.14,0.27
RPS3A,-0.03,0.17,-0.07,0.49,0.10,0.66,0.04,0.24,0.09,0.59,0.04,0.26
CAPN2,-0.07,0.88,0.13,1.57,-0.03,0.63,0.14,2.37,0.03,0.17,-0.18,2.16
POLR2B,0.10,1.04,0.13,1.21,0.19,1.22,0.10,0.51,0.14,0.82,0.24,2.20
RPS4X,-0.21,1.56,-0.18,1.91,0.00,0.02,-0.09,0.64,0.00,0.05,-0.07,0.85
DNM2,0.03,0.12,0.06,0.36,0.05,0.19,-0.04,0.23,-0.04,0.12,-0.03,0.11
GLUD1,0.24,1.85,0.03,0.28,-0.05,0.39,0.17,1.62,0.07,0.68,-0.04,0.30
EEF1G,0.09,0.43,0.14,0.71,0.13,0.70,0.09,0.41,0.09,0.39,-0.10,0.41
AP3D1,-0.12,0.81,-0.13,0.99,-0.02,0.09,0.01,0.05,0.00,0.01,-0.17,1.25
ANKHD1,0.27,1.36,0.26,1.53,0.34,1.98,0.21,1.26,0.25,1.14,0.36,1.62
AIFM1,0.06,0.52,0.13,1.49,0.01,0.03,0.14,1.22,0.37,2.94,0.03,0.27
PUF60,-0.07,0.19,-0.05,0.15,0.14,0.52,-0.04,0.12,-0.02,0.04,0.12,0.44
CSE1L,-0.14,1.45,-0.07,0.91,0.00,0.01,0.03,0.25,0.09,1.00,0.01,0.08
RBM28,0.02,0.28,-0.04,0.59,0.16,2.46,0.18,3.38,0.19,2.91,0.10,2.19
AP2B1,0.14,0.69,0.26,1.21,0.10,0.52,0.02,0.10,-0.02,0.09,-0.01,0.05
LRRFIP1,0.17,1.93,0.08,0.86,0.13,2.21,0.20,2.86,-0.07,0.90,-0.04,0.68
MDC1,-0.22,1.43,-0.08,0.55,-0.29,2.06,-0.86,3.49,0.07,0.44,-0.12,0.97
UGDH,0.22,1.88,0.34,2.18,-0.02,0.21,0.03,0.19,-0.25,3.24,-0.43,3.47
ATAD3B,0.14,0.62,-0.17,0.64,0.63,2.75,0.18,0.81,0.18,0.58,0.34,1.39
UBAP2L,-0.05,0.32,-0.04,0.21,0.17,1.00,0.07,0.36,0.19,0.86,-0.12,0.64
TUBA4A,0.26,1.41,0.36,2.00,0.25,1.82,0.15,0.81,0.34,1.95,0.26,1.26
GARS1,-0.51,3.31,-0.32,2.63,-0.36,2.78,-0.14,1.18,-0.06,0.33,-0.08,0.82
PYGB,-0.06,0.32,-0.24,1.44,-0.15,0.83,0.00,0.00,-0.17,1.10,-0.26,1.40
POLR1A,0.66,4.80,0.53,3.94,0.62,3.09,0.51,2.84,0.12,1.08,0.19,2.02
EEF1A2,0.24,1.59,0.03,0.14,-0.14,1.45,-0.05,0.33,-0.29,2.70,-0.28,2.60
GTPBP4,-0.01,0.07,-0.26,2.54,0.18,2.83,-0.30,3.45,0.11,2.09,0.12,2.20
LIG1,-0.21,0.94,-0.17,0.87,-0.01,0.05,-0.10,0.46,0.27,1.30,0.21,1.03
PPP1R12A,0.27,1.84,0.28,2.35,0.06,0.73,0.02,0.18,-0.09,0.94,0.14,1.51
POR,-0.25,0.71,-0.28,0.77,-0.03,0.06,-0.45,1.23,-0.23,0.64,-0.15,0.40
CPSF1,0.08,0.80,-0.06,0.58,0.06,0.76,-0.06,0.39,0.04,0.26,0.14,1.18
NUP93,0.14,0.37,0.17,0.54,0.34,1.07,0.18,0.53,0.16,0.36,0.29,0.96
HNRNPUL1,0.13,2.16,0.11,1.53,0.10,1.64,0.05,0.96,0.29,2.60,0.19,2.13
GDI2,-0.16,0.43,-0.03,0.07,0.00,0.01,-0.14,0.42,-0.01,0.02,0.07,0.19
PLCB3,-0.23,1.13,-0.40,1.66,-0.08,0.32,-0.06,0.28,0.22,1.14,-0.08,0.33
FUBP1,0.14,1.42,0.26,4.00,0.21,2.46,0.23,3.17,0.20,2.50,0.42,3.79
GOLGA4,0.31,1.54,0.10,0.44,0.28,1.32,0.32,1.78,0.17,0.84,0.28,1.38
FXR1,0.22,1.91,0.34,2.53,0.11,0.96,0.30,2.51,0.22,1.89,0.25,2.03
NOP2,0.11,0.37,-0.35,1.44,0.05,0.17,-0.12,0.52,0.10,0.39,-0.01,0.04
SSRP1,-0.31,1.94,-0.28,2.32,-0.81,3.64,-0.18,1.78,0.00,0.02,-0.03,0.27
NOP2,0.11,0.74,-0.21,1.95,0.09,0.58,-0.10,1.09,0.20,1.05,-0.01,0.06
PFKL,-0.43,2.27,-0.71,3.04,-0.20,1.02,-0.31,1.72,-0.18,0.77,-0.38,2.20
NUP155,0.06,0.63,-0.02,0.44,0.12,1.78,-0.03,0.28,0.00,0.06,0.04,0.41
AP1B1,0.04,0.27,-0.12,1.17,0.28,1.71,-0.01,0.09,0.13,0.80,0.16,0.89
THRAP3,-0.02,0.09,0.00,0.00,-0.08,0.49,0.03,0.16,0.07,0.47,0.09,0.64
TPX2,0.99,3.80,0.45,1.83,0.50,1.66,0.27,1.09,0.47,1.30,0.57,2.19
EIF2S2,-0.19,0.98,-0.27,1.66,-0.25,1.49,-0.13,0.80,0.00,0.02,-0.03,0.15
RFC1,0.12,1.71,0.18,2.78,0.16,1.91,0.18,3.28,-0.06,1.26,0.34,3.96
DNM1L,0.37,2.85,0.37,2.22,0.01,0.10,0.11,1.13,0.13,0.68,0.11,1.06
PPM1G,0.00,0.03,-0.06,0.61,0.08,0.84,-0.11,1.04,0.03,0.21,0.03,0.30
PRRC2A,0.20,1.48,0.02,0.12,0.33,2.05,0.09,0.63,0.12,0.80,0.06,0.37
TUBB6,0.44,2.06,0.51,2.33,0.34,1.66,0.05,0.26,0.28,1.31,0.26,1.89
DDX27,-0.23,0.98,-0.28,1.30,-0.05,0.18,-0.19,1.04,-0.26,1.13,-0.06,0.24
CPOX,-0.27,1.33,-0.26,1.46,0.06,0.32,0.01,0.05,0.02,0.09,0.09,0.54
GRSF1,0.18,1.68,0.21,1.78,0.27,1.92,0.27,3.00,0.28,1.53,0.40,2.30
RNF20,0.25,2.82,0.34,3.76,0.23,3.02,0.14,2.21,0.01,0.13,0.25,3.37
RPA1,0.03,0.44,0.19,2.81,0.04,0.75,-0.05,0.90,0.05,0.92,0.22,2.71
LAP3,-0.12,0.81,-0.19,1.46,0.11,0.79,0.02,0.13,0.00,0.00,0.05,0.40
HNRNPD,0.11,1.94,0.13,1.91,0.14,2.51,0.17,2.01,0.23,3.17,0.34,3.64
COPB2,0.14,2.91,0.03,0.61,-0.08,1.80,-0.02,0.36,-0.09,0.80,-0.01,0.11
GOLGA3,-0.04,0.20,0.16,1.11,0.07,0.51,0.18,1.27,0.04,0.25,0.04,0.15
PSMC6,0.39,4.40,0.72,4.06,0.36,4.13,0.27,2.47,0.02,0.22,0.14,2.75
FUBP1,0.16,0.30,0.00,0.01,-0.05,0.08,0.16,0.34,0.15,0.20,0.48,0.70
DDX24,0.52,2.16,0.49,2.62,0.60,2.72,0.25,1.22,0.43,1.71,0.37,2.02
TPP2,-0.39,1.81,-0.27,1.37,-0.23,1.08,-0.27,1.37,-0.16,0.70,-0.32,1.59
TXNRD1,0.27,1.48,0.11,1.30,-0.03,0.33,0.10,1.28,0.01,0.09,-0.22,2.01
SAE1,-0.19,1.64,0.03,0.27,0.01,0.05,0.08,0.78,-0.18,1.60,-0.05,0.41
KPNB1,-0.46,0.84,-0.34,0.64,-0.18,0.34,-0.20,0.38,-0.21,0.38,-0.18,0.33
NUP133,-0.01,0.03,0.04,0.25,0.13,1.09,-0.20,1.53,-0.07,0.37,0.14,0.94
DDX18,-0.20,2.20,-0.27,2.24,-0.08,1.01,-0.06,0.67,-0.20,1.93,-0.07,0.72
IGF2BP2,-0.39,3.30,-0.09,1.51,-0.08,1.05,-0.14,1.75,-0.34,2.97,-0.14,1.57
NOLC1,-0.05,0.29,-0.18,0.96,0.17,1.24,0.15,1.00,0.23,1.72,0.07,0.34
ASPH,-1.16,3.56,-0.29,1.75,-0.39,2.05,-0.13,0.89,0.03,0.12,-0.36,1.99
AFG3L2,-0.15,0.74,-0.19,0.96,0.05,0.25,0.02,0.11,0.03,0.13,-0.24,1.34
TOMM70,-0.40,3.20,-0.31,2.88,-0.34,2.46,-0.22,2.19,-0.31,1.77,-0.29,2.14
PRDX6,0.51,5.07,0.41,3.69,0.02,0.29,0.24,3.00,0.22,2.18,0.33,3.55
TCERG1,0.16,1.13,0.10,0.70,0.03,0.17,0.18,1.12,0.14,0.92,0.23,1.67
U2SURP,-0.11,0.85,-0.08,0.60,-0.01,0.03,0.01,0.08,-0.15,1.28,0.03,0.24
MARS,-0.32,2.24,-0.32,2.55,-0.17,1.28,-0.19,1.10,-0.28,1.62,-0.11,0.75
PSMD11,-0.21,0.80,0.19,0.98,-0.07,0.26,-0.11,0.38,-0.46,1.59,-0.23,0.95
EEF1D,0.07,0.34,-0.01,0.06,0.20,1.04,0.06,0.26,-0.12,0.55,-0.15,0.62
DNMBP,-0.08,0.22,0.19,1.17,0.04,0.23,0.01,0.02,0.10,0.80,0.57,2.45
DNM1L,0.77,1.77,0.61,1.26,0.56,1.70,0.48,2.25,0.62,1.00,-0.37,0.34
UBTF,0.06,0.34,-0.07,0.45,0.08,0.96,0.13,1.25,-0.07,0.44,0.03,0.20
RNH1,-0.02,0.17,0.02,0.32,0.03,0.54,0.01,0.09,0.16,2.63,0.09,1.50
PFKM,0.08,0.72,-0.20,1.41,-0.18,1.50,-0.14,1.01,0.12,0.81,0.05,0.32
HADHB,-0.10,1.12,0.18,2.91,-0.09,0.46,-0.11,1.76,-0.16,1.18,-0.13,1.93
BCLAF1,-0.03,0.31,-0.04,0.42,-0.04,0.67,0.09,0.98,-0.02,0.28,0.26,2.52
KARS1,-0.13,1.51,-0.25,3.57,0.02,0.34,-0.05,1.08,-0.26,3.36,-0.12,2.30
DARS,-0.12,1.31,-0.26,3.30,-0.06,1.67,-0.10,1.49,-0.18,3.02,-0.12,2.33
ABCF2,0.15,1.05,0.08,0.45,-0.13,0.81,0.09,0.28,0.03,0.10,0.15,0.80
SHMT2,-0.24,4.63,-0.47,3.66,-0.14,3.53,-0.10,2.23,-0.01,0.24,-0.04,1.63
EIF2S1,-0.12,1.09,-0.21,1.88,-0.10,1.02,-0.17,1.52,0.01,0.10,-0.02,0.12
DOCK7,-0.07,0.70,-0.11,1.07,0.09,1.27,0.03,0.17,-0.03,0.18,0.03,0.24
RPS3,-0.36,2.74,-0.32,2.57,-0.12,1.27,-0.20,1.55,-0.18,1.17,-0.20,1.41
EGFR,-0.25,1.58,-0.23,1.30,-0.07,0.47,-0.05,0.27,0.23,1.15,-0.03,0.16
ACSL5,-4.69,4.31,-2.62,4.08,0.78,3.66,-1.90,3.82,-0.51,2.25,-0.30,1.59
KDM3B,-0.30,0.82,-0.09,0.26,0.02,0.05,0.06,0.16,-0.18,0.50,0.07,0.18
AP3B1,-0.05,0.40,-0.01,0.09,-0.01,0.09,0.10,1.25,0.09,0.89,-0.03,0.24
SPAG9,0.13,0.95,0.24,1.71,0.30,2.31,0.27,1.95,-0.02,0.10,0.29,2.17
ATXN2L,0.14,1.11,0.18,1.30,0.01,0.06,0.12,0.73,-0.45,2.75,0.14,1.19
SEC23IP,0.19,1.96,0.12,1.55,0.14,1.76,0.03,0.41,0.03,0.27,0.09,1.21
VDAC1,-0.12,1.16,-0.12,1.15,0.19,1.79,0.12,1.30,0.25,1.81,0.10,0.70
TMPO,-0.11,0.52,0.16,1.00,0.01,0.06,0.03,0.12,0.03,0.14,0.16,1.00
USP9X,-0.18,1.48,0.23,2.21,0.01,0.06,0.09,0.68,-0.18,1.30,-0.12,0.96
OAT,0.14,2.64,0.00,0.02,-0.22,2.01,-0.31,4.71,0.26,2.09,0.01,0.10
ARCN1,0.19,1.54,-0.03,0.14,0.09,0.67,0.04,0.23,-0.10,0.54,-0.03,0.18
GDI1,-0.18,0.41,0.08,0.18,-0.29,0.99,-0.10,0.27,-0.38,1.26,-0.07,0.18
FAM120A,-0.08,0.43,0.09,0.86,-0.05,0.39,-0.26,1.87,-0.05,0.28,-0.11,0.81
IGF2BP3,-0.31,3.55,-0.36,3.11,0.45,2.60,0.01,0.19,-0.75,4.45,0.16,2.35
NARS1,-0.03,0.12,-0.14,0.92,-0.14,1.00,0.11,0.75,0.08,0.42,-0.46,2.41
AGL,-0.59,3.59,-0.27,2.26,0.00,0.02,-0.11,0.59,-0.25,1.60,-0.10,0.98
PRKCSH,0.01,0.02,-0.17,0.67,-0.22,0.79,0.00,0.01,-0.05,0.16,-0.09,0.36
SSB,-0.17,1.02,-0.14,0.78,0.02,0.10,-0.01,0.03,-0.26,1.37,-0.25,1.32
NUP153,0.33,2.15,0.50,2.73,0.44,2.73,0.34,2.29,0.17,1.02,0.21,1.59
PTBP1,-0.33,2.72,-0.22,1.70,-0.16,1.62,-0.11,1.28,-0.08,0.56,-0.13,1.15
PFN1,-0.06,0.19,0.12,0.64,-0.01,0.05,-0.02,0.08,0.24,0.95,0.15,0.59
UHRF1,0.43,2.79,0.20,1.54,0.32,1.92,0.17,0.80,0.02,0.09,0.12,0.72
HDGF,-0.14,0.77,0.08,0.42,-0.01,0.08,0.25,1.61,0.05,0.24,0.23,1.73
ZFR,0.16,1.47,0.22,2.31,0.21,1.92,0.12,1.23,-0.14,1.40,0.30,2.71
CUL1,-0.12,1.17,0.12,1.33,0.12,1.43,0.03,0.22,-0.08,0.78,0.05,0.50
DLD,0.17,1.53,0.25,1.51,0.10,0.78,0.25,1.86,0.24,1.46,0.10,0.65
PDLIM5,1.72,4.03,1.18,3.96,-0.64,2.91,0.57,2.47,0.09,0.36,0.83,2.91
